player_id,name,club_id,position,annual_salary_gbp,value_rating
P054,Filip Jorgensen,CHE,GK,2600000,5
P055,Levi Colwill,CHE,DEF,5200000,7
P056,Wesley Fofana,CHE,DEF,9400000,5
P057,Marc Cucurella,CHE,DEF,7800000,7
P058,Reece James,CHE,DEF,13000000,6
P059,Malo Gusto,CHE,DEF,3600000,6
P060,Tosin Adarabioyo,CHE,DEF,5200000,6
P061,Enzo Fernandez,CHE,MID,10400000,7
P062,Moises Caicedo,CHE,MID,10900000,8
P063,Romeo Lavia,CHE,MID,6200000,4
P064,Cole Palmer,CHE,MID,13500000,9
P065,Dario Essugo,CHE,MID,2600000,4
P066,Nicolas Jackson,CHE,FWD,7300000,6
P067,Christopher Nkunku,CHE,FWD,10400000,5
P068,Pedro Neto,CHE,FWD,7800000,6
P069,Joao Pedro,CHE,FWD,7300000,7
P070,Andre Onana,MUN,GK,6800000,4
P071,Altay Bayindir,MUN,GK,2600000,4
P072,Lisandro Martinez,MUN,DEF,6800000,7
P073,Matthijs de Ligt,MUN,DEF,8300000,7
P074,Leny Yoro,MUN,DEF,4200000,6
P075,Luke Shaw,MUN,DEF,9400000,5
P076,Noussair Mazraoui,MUN,DEF,5200000,6
P077,Diogo Dalot,MUN,DEF,6200000,6
P078,Bruno Fernandes,MUN,MID,14600000,8
P079,Casemiro,MUN,MID,18200000,4
P080,Kobbie Mainoo,MUN,MID,3100000,7
P081,Manuel Ugarte,MUN,MID,6800000,5
P082,Rasmus Hojlund,MUN,FWD,6800000,5
P083,Marcus Rashford,MUN,FWD,15600000,5
P084,Matheus Cunha,MUN,FWD,9400000,7
P085,Bryan Mbeumo,MUN,FWD,9900000,7
P086,Guglielmo Vicario,TOT,GK,4200000,7
P087,Antonin Kinsky,TOT,GK,1600000,5
P088,Cristian Romero,TOT,DEF,9400000,8
P089,Micky van de Ven,TOT,DEF,4700000,8
P090,Destiny Udogie,TOT,DEF,4200000,6
P091,Pedro Porro,TOT,DEF,5700000,6
P092,Kevin Danso,TOT,DEF,3600000,5
P093,James Maddison,TOT,MID,9400000,6
P094,Rodrigo Bentancur,TOT,MID,5700000,6
P095,Pape Matar Sarr,TOT,MID,3600000,6
P096,Lucas Bergvall,TOT,MID,2100000,7
P097,Dominic Solanke,TOT,FWD,7800000,6
P098,Son Heung-min,TOT,FWD,10400000,6
P099,Brennan Johnson,TOT,FWD,5200000,6
P100,Mathys Tel,TOT,FWD,5700000,5
P101,Nick Pope,NEW,GK,3600000,6
P102,Martin Dubravka,NEW,GK,2100000,5
P103,Sven Botman,NEW,DEF,4700000,7
P104,Fabian Schar,NEW,DEF,3600000,7
P105,Dan Burn,NEW,DEF,2600000,6
P106,Kieran Trippier,NEW,DEF,6800000,5
P107,Tino Livramento,NEW,DEF,3100000,7
P108,Bruno Guimaraes,NEW,MID,8300000,8
P109,Joelinton,NEW,MID,6200000,7
P110,Sandro Tonali,NEW,MID,7300000,8
P111,Joe Willock,NEW,MID,4200000,4
P112,Anthony Gordon,NEW,FWD,6800000,7
P113,Harvey Barnes,NEW,FWD,5200000,6
P114,Callum Wilson,NEW,FWD,6200000,4
P115,Emiliano Martinez,AVL,GK,6200000,8
P116,Robin Olsen,AVL,GK,1600000,4
P117,Ezri Konsa,AVL,DEF,4200000,7
P118,Pau Torres,AVL,DEF,5200000,7
P119,Tyrone Mings,AVL,DEF,5700000,5
P120,Matty Cash,AVL,DEF,3100000,6
P121,Lucas Digne,AVL,DEF,4700000,5
P122,John McGinn,AVL,MID,4700000,6
P123,Youri Tielemans,AVL,MID,5200000,7
P124,Boubacar Kamara,AVL,MID,5700000,6
P125,Morgan Rogers,AVL,MID,2600000,8
P126,Ollie Watkins,AVL,FWD,8300000,8
P127,Jacob Ramsey,AVL,FWD,2600000,5
P128,Donyell Malen,AVL,FWD,4700000,5
P129,Bart Verbruggen,BHA,GK,2100000,6
P130,Jason Steele,BHA,GK,1600000,4
P131,Lewis Dunk,BHA,DEF,4200000,7
P132,Jan Paul van Hecke,BHA,DEF,2600000,7
P133,Pervis Estupinan,BHA,DEF,3100000,6
P134,Tariq Lamptey,BHA,DEF,2600000,4
P135,Kaoru Mitoma,BHA,MID,4200000,8
P136,Carlos Baleba,BHA,MID,2600000,7
P137,Yasin Ayari,BHA,MID,1600000,5
P138,Danny Welbeck,BHA,FWD,3600000,6
P139,Georginio Rutter,BHA,FWD,3100000,6
P140,Simon Adingra,BHA,FWD,2100000,5
P141,Mark Flekken,BRE,GK,2100000,5
P142,Hakon Valdimarsson,BRE,GK,1000000,4
P143,Nathan Collins,BRE,DEF,2600000,7
P144,Ethan Pinnock,BRE,DEF,2100000,6
P145,Rico Henry,BRE,DEF,1600000,5
P146,Christian Norgaard,BRE,MID,2600000,6
P147,Vitaly Janelt,BRE,MID,1600000,5
P148,Mikkel Damsgaard,BRE,MID,2600000,7
P149,Yoane Wissa,BRE,FWD,3100000,7
P150,Kevin Schade,BRE,FWD,2100000,6
