player_id,name,club_id,position,annual_salary_gbp,value_rating
P106,Kieran Trippier,NEW,Defender,6800000,5
P107,Tino Livramento,NEW,Defender,3100000,7
P108,Bruno Guimaraes,NEW,Midfield,8300000,8
P109,Joelinton,NEW,Midfield,6200000,7
P110,Sandro Tonali,NEW,Midfield,7300000,8
P111,Joe Willock,NEW,Midfield,4200000,4
P112,Anthony Gordon,NEW,Forward,6800000,7
P113,Harvey Barnes,NEW,Forward,5200000,6
P114,Callum Wilson,NEW,Forward,6200000,4
P115,Emiliano Martinez,AVL,Goalie,6200000,8
P116,Robin Olsen,AVL,Goalie,1600000,4
P117,Ezri Konsa,AVL,Defender,4200000,7
P118,Pau Torres,AVL,Defender,5200000,7
P119,Tyrone Mings,AVL,Defender,5700000,5
P120,Matty Cash,AVL,Defender,3100000,6
P121,Lucas Digne,AVL,Defender,4700000,5
P122,John McGinn,AVL,Midfield,4700000,6
P123,Youri Tielemans,AVL,Midfield,5200000,7
P124,Boubacar Kamara,AVL,Midfield,5700000,6
P125,Morgan Rogers,AVL,Midfield,2600000,8
P126,Ollie Watkins,AVL,Forward,8300000,8
P127,Jacob Ramsey,AVL,Forward,2600000,5
P128,Donyell Malen,AVL,Forward,4700000,5
P129,Bart Verbruggen,BHA,Goalie,2100000,6
P130,Jason Steele,BHA,Goalie,1600000,4
P131,Lewis Dunk,BHA,Defender,4200000,7
P132,Jan Paul van Hecke,BHA,Defender,2600000,7
P133,Pervis Estupinan,BHA,Defender,3100000,6
P134,Tariq Lamptey,BHA,Defender,2600000,4
P135,Kaoru Mitoma,BHA,Midfield,4200000,8
P136,Carlos Baleba,BHA,Midfield,2600000,7
P137,Yasin Ayari,BHA,Midfield,1600000,5
P138,Danny Welbeck,BHA,Forward,3600000,6
P139,Georginio Rutter,BHA,Forward,3100000,6
P140,Simon Adingra,BHA,Forward,2100000,5
P141,Mark Flekken,BRE,Goalie,2100000,5
P142,Hakon Valdimarsson,BRE,Goalie,1000000,4
P143,Nathan Collins,BRE,Defender,2600000,7
P144,Ethan Pinnock,BRE,Defender,2100000,6
P145,Rico Henry,BRE,Defender,1600000,5
P146,Christian Norgaard,BRE,Midfield,2600000,6
P147,Vitaly Janelt,BRE,Midfield,1600000,5
P148,Mikkel Damsgaard,BRE,Midfield,2600000,7
P149,Yoane Wissa,BRE,Forward,3100000,7
P150,Kevin Schade,BRE,Forward,2100000,6
